Soundex of abckvq : 3  : abusive : abusively : abusiveness
Metaphone of mcl : 5  : macula : maculae : meekly : miguel : mogul
Soundex of mdgar : 12  : maidservant : maidservants : medicare : mediocre : mediocrity : metacarpal : metacarpals : metacarpus : metachronism : motocross : mudguard : mudguards
Metaphone of mdgar : 2  : medicare : mediocre
Soundex of mein : 45  : maim : main : maine : mama : mamma : mammy : man : mane : mania : mann : manna : manu : many : mauna : mayan : mayhem : mean : meany : memo : men : menu : miami : mien : mim : mime : mimi : min : mina : mine : mini : minnie : minnow : moan : mom : momma : mommy : money : mono : moon : moony : mown : mum : mummy : myna : mynah
Metaphone of mein : 32  : hymen : hymn : main : maine : man : mane : mania : mann : manna : manu : many : mauna : mean : meany : men : menu : mien : min : mina : mine : mini : minnie : minnow : moan : money : mono : moon : moony : mown : myna : mynah : wyman
Soundex of mgn : 28  : machine : mackinaw : magma : magna : mahogany : maoism : mason : maugham : maxim : maxima : maxine : mccann : mcgowan : mckenna : mckinney : mecum : megan : megohm : mesne : meson : miasma : miocene : mission : mizzen : mohican : muezzin : museum : myosin
Metaphone of mgn : 32  : hymen : hymn : main : maine : man : mane : mania : mann : manna : manu : many : mauna : mean : meany : men : menu : mien : min : mina : mine : mini : minnie : minnow : moan : money : mono : moon : moony : mown : myna : mynah : wyman
Soundex of mgu : 96  : mac : macao : macaw : mace : mach : macho : mack : macs : maes : maggie : magi : maguey : maize : make : mash : mashie : mask : masks : masque : mass : massa : masse : massey : massy : maws : max : maxi : mayas : mays : maze : mcc : mccoy : mcgee : mckay : mckee : mecca : meek : meg : mega : meows : mesa : mese : mesh : mess : messiah : messy : mews : mezzo : mg : mhos : miaows : mica : micah : mice : mickey : micky : mig : mike : miscue : mise : miss : missy : mix : mk : mocha : mock : mocks : mooch : moos : moose : moscow : mosey : mosque : moss : mossy : moues : mouse : mousse : mousy : mows : ms : msc : much : muck : mucks : mucky : mug : muggy : mugs : muse : mush : mushy : musk : musky : muzzy : mx
Metaphone of mgu : 26  : mac : macao : macaw : mack : maggie : maguey : make : mckay : mckee : meek : meg : mega : mg : mica : micah : mickey : micky : mig : mike : mk : mock : muck : mucky : mug : muggy : ymca
Soundex of mhbbs : 15  : mafiosi : mafioso : maps : mauves : mavis : maybes : miffs : mobs : mopes : mops : moves : movies : mps : muffs : myopic
Metaphone of mhbbs : 2  : maybes : mobs
Soundex of mio : 21  : ma : mae : mao : maui : maw : may : maya : mayo : me : meow : mew : mho : mi : miaow : mm : mo : moo : moue : mow : mu : my
Metaphone of mio : 20  : ma : mae : mao : maui : maw : may : mb : mbe : me : meow : mew : mi : miaow : mm : mo : moo : moue : mow : mu : my
Soundex of mmpjn : 1  : maupassant
Soundex of mmxf : 9  : magpie : makeup : massif : massive : mischief : mishap : missive : mojave : muscovy
Soundex of mnmasw : 96  : mac : macao : macaw : mace : mach : macho : mack : macs : maes : maggie : magi : maguey : maize : make : mash : mashie : mask : masks : masque : mass : massa : masse : massey : massy : maws : max : maxi : mayas : mays : maze : mcc : mccoy : mcgee : mckay : mckee : mecca : meek : meg : mega : meows : mesa : mese : mesh : mess : messiah : messy : mews : mezzo : mg : mhos : miaows : mica : micah : mice : mickey : micky : mig : mike : miscue : mise : miss : missy : mix : mk : mocha : mock : mocks : mooch : moos : moose : moscow : mosey : mosque : moss : mossy : moues : mouse : mousse : mousy : mows : ms : msc : much : muck : mucks : mucky : mug : muggy : mugs : muse : mush : mushy : musk : musky : muzzy : mx
Metaphone of mnmasw : 4  : minimis : minimise : minimize : minims
Soundex of mno : 21  : ma : mae : mao : maui : maw : may : maya : mayo : me : meow : mew : mho : mi : miaow : mm : mo : moo : moue : mow : mu : my
Metaphone of mno : 32  : hymen : hymn : main : maine : man : mane : mania : mann : manna : manu : many : mauna : mean : meany : men : menu : mien : min : mina : mine : mini : minnie : minnow : moan : money : mono : moon : moony : mown : myna : mynah : wyman
Soundex of mog : 96  : mac : macao : macaw : mace : mach : macho : mack : macs : maes : maggie : magi : maguey : maize : make : mash : mashie : mask : masks : masque : mass : massa : masse : massey : massy : maws : max : maxi : mayas : mays : maze : mcc : mccoy : mcgee : mckay : mckee : mecca : meek : meg : mega : meows : mesa : mese : mesh : mess : messiah : messy : mews : mezzo : mg : mhos : miaows : mica : micah : mice : mickey : micky : mig : mike : miscue : mise : miss : missy : mix : mk : mocha : mock : mocks : mooch : moos : moose : moscow : mosey : mosque : moss : mossy : moues : mouse : mousse : mousy : mows : ms : msc : much : muck : mucks : mucky : mug : muggy : mugs : muse : mush : mushy : musk : musky : muzzy : mx
Metaphone of mog : 26  : mac : macao : macaw : mack : maggie : maguey : make : mckay : mckee : meek : meg : mega : mg : mica : micah : mickey : micky : mig : mike : mk : mock : muck : mucky : mug : muggy : ymca
Soundex of momvctb : 38  : mambas : mambos : manifest : manifestation : manifestations : manifested : manifesting : manifestly : manifesto : manifestos : manifests : manufactories : manufactory : manufacture : manufactured : manufacturer : manufacturers : manufactures : manufacturing : memphis : menopausal : menopause : minibus : minibuses : minibusses : minifies : mombasa : mombassa : moneybag : moneybags : monopsonies : monopsony : mummification : mummifies : mumps : munificence : munificent : munificently
Soundex of mpv : 16  : mafia : map : mauve : maybe : mb : mbe : mep : miff : mob : mop : mope : move : movie : mp : muff : myopia
Soundex of mpykk : 15  : mafiosi : mafioso : maps : mauves : mavis : maybes : miffs : mobs : mopes : mops : moves : movies : mps : muffs : myopic
Soundex of mqi : 96  : mac : macao : macaw : mace : mach : macho : mack : macs : maes : maggie : magi : maguey : maize : make : mash : mashie : mask : masks : masque : mass : massa : masse : massey : massy : maws : max : maxi : mayas : mays : maze : mcc : mccoy : mcgee : mckay : mckee : mecca : meek : meg : mega : meows : mesa : mese : mesh : mess : messiah : messy : mews : mezzo : mg : mhos : miaows : mica : micah : mice : mickey : micky : mig : mike : miscue : mise : miss : missy : mix : mk : mocha : mock : mocks : mooch : moos : moose : moscow : mosey : mosque : moss : mossy : moues : mouse : mousse : mousy : mows : ms : msc : much : muck : mucks : mucky : mug : muggy : mugs : muse : mush : mushy : musk : musky : muzzy : mx
Metaphone of mqi : 26  : mac : macao : macaw : mack : maggie : maguey : make : mckay : mckee : meek : meg : mega : mg : mica : micah : mickey : micky : mig : mike : mk : mock : muck : mucky : mug : muggy : ymca
Soundex of mqjoa : 96  : mac : macao : macaw : mace : mach : macho : mack : macs : maes : maggie : magi : maguey : maize : make : mash : mashie : mask : masks : masque : mass : massa : masse : massey : massy : maws : max : maxi : mayas : mays : maze : mcc : mccoy : mcgee : mckay : mckee : mecca : meek : meg : mega : meows : mesa : mese : mesh : mess : messiah : messy : mews : mezzo : mg : mhos : miaows : mica : micah : mice : mickey : micky : mig : mike : miscue : mise : miss : missy : mix : mk : mocha : mock : mocks : mooch : moos : moose : moscow : mosey : mosque : moss : mossy : moues : mouse : mousse : mousy : mows : ms : msc : much : muck : mucks : mucky : mug : muggy : mugs : muse : mush : mushy : musk : musky : muzzy : mx
Metaphone of mqjoa : 1  : mcgee
Soundex of mqkg : 96  : mac : macao : macaw : mace : mach : macho : mack : macs : maes : maggie : magi : maguey : maize : make : mash : mashie : mask : masks : masque : mass : massa : masse : massey : massy : maws : max : maxi : mayas : mays : maze : mcc : mccoy : mcgee : mckay : mckee : mecca : meek : meg : mega : meows : mesa : mese : mesh : mess : messiah : messy : mews : mezzo : mg : mhos : miaows : mica : micah : mice : mickey : micky : mig : mike : miscue : mise : miss : missy : mix : mk : mocha : mock : mocks : mooch : moos : moose : moscow : mosey : mosque : moss : mossy : moues : mouse : mousse : mousy : mows : ms : msc : much : muck : mucks : mucky : mug : muggy : mugs : muse : mush : mushy : musk : musky : muzzy : mx
Soundex of mrmnxtn : 25  : maharanis : marinas : marines : marmoset : marmosets : maroons : marring : marrying : meringue : meringues : merinos : merrymaker : merrymakers : merrymaking : miring : moorhens : mooring : moorings : moraines : morns : moronic : morons : morwenstow : mourns : murrains
Soundex of mrni : 20  : maharani : marian : marianne : marihuana : marina : marine : marino : marion : maroon : maureen : merino : miriam : moorhen : moraine : morn : mornay : moron : moroni : mourn : murrain
Metaphone of mrni : 16  : marian : marianne : marina : marine : marino : marion : maroon : maureen : merino : moraine : morn : mornay : moron : moroni : mourn : murrain
Soundex of mtag : 58  : madge : madhouse : mahouts : maids : match : mates : mateus : mathews : mathias : maths : mats : mattes : matthews : mattock : mattocks : matzo : maydays : meadows : meats : medic : medico : medics : medoc : medusa : meets : meiotic : metayage : metes : meths : mets : metus : midas : middies : midge : midis : midways : midweek : mites : mitts : moats : modes : modish : modus : moieties : moods : moots : motes : moths : mots : mottoes : mottos : mouths : mouthwash : muddies : mutes : mutts : mythic : myths
Metaphone of mtag : 5  : mattock : medic : medico : medoc : meiotic
Soundex of mtd : 59  : mad : made : mahout : maid : mat : mate : matey : math : matt : matte : matthew : mayday : md : mead : meadow : meadowy : meat : meath : meaty : med : media : medway : meet : meowed : met : mete : meth : mewed : miaowed : mid : midday : middy : midi : midway : mite : mitt : moat : mod : mode : modi : moiety : mood : moody : mooed : moot : mot : mota : mote : moth : motto : mouth : mouthy : mowed : mud : mudd : muddy : mute : mutt : myth
Metaphone of mtd : 9  : mated : matted : mediate : meted : mooted : motet : muddied : mutate : muted
Soundex of muhv : 16  : mafia : map : mauve : maybe : mb : mbe : mep : miff : mob : mop : mope : move : movie : mp : muff : myopia
Metaphone of muhv : 6  : mafia : mauve : miff : move : movie : muff
Soundex of mumrgb : 42  : mannerism : mannerisms : mannerist : mannerists : manners : manors : memoirs : memories : memorisation : memorise : memorised : memorises : memorising : memorization : memorize : memorized : memorizes : memorizing : menarche : menorahs : miners : mineworker : mineworkers : minorca : minorcan : minoris : minors : moaners : monarch : monarchic : monarchical : monarchies : monarchism : monarchist : monarchists : monarchs : monarchy : moonrise : moonrises : mummeries : mummers : munros
Soundex of muu : 21  : ma : mae : mao : maui : maw : may : maya : mayo : me : meow : mew : mho : mi : miaow : mm : mo : moo : moue : mow : mu : my
Metaphone of muu : 20  : ma : mae : mao : maui : maw : may : mb : mbe : me : meow : mew : mi : miaow : mm : mo : moo : moue : mow : mu : my
Soundex of mux : 96  : mac : macao : macaw : mace : mach : macho : mack : macs : maes : maggie : magi : maguey : maize : make : mash : mashie : mask : masks : masque : mass : massa : masse : massey : massy : maws : max : maxi : mayas : mays : maze : mcc : mccoy : mcgee : mckay : mckee : mecca : meek : meg : mega : meows : mesa : mese : mesh : mess : messiah : messy : mews : mezzo : mg : mhos : miaows : mica : micah : mice : mickey : micky : mig : mike : miscue : mise : miss : missy : mix : mk : mocha : mock : mocks : mooch : moos : moose : moscow : mosey : mosque : moss : mossy : moues : mouse : mousse : mousy : mows : ms : msc : much : muck : mucks : mucky : mug : muggy : mugs : muse : mush : mushy : musk : musky : muzzy : mx
Metaphone of mux : 16  : macaws : macs : magueys : magus : makes : max : maxi : micas : mikes : mix : mocks : mucks : mucous : mucus : mugs : mx
Soundex of mvg : 15  : mafiosi : mafioso : maps : mauves : mavis : maybes : miffs : mobs : mopes : mops : moves : movies : mps : muffs : myopic
Soundex of mvxcz : 15  : mafiosi : mafioso : maps : mauves : mavis : maybes : miffs : mobs : mopes : mops : moves : movies : mps : muffs : myopic
Soundex of mwpyc : 15  : mafiosi : mafioso : maps : mauves : mavis : maybes : miffs : mobs : mopes : mops : moves : movies : mps : muffs : myopic
Soundex of mxugzxe : 55  : macaque : macaws : maces : machos : magic : magueys : magus : makes : mashes : mashies : masques : massage : masses : masseuse : mawkish : maxis : mazes : meioses : meiosis : mesas : meshes : message : messes : messuage : mexico : mezuzah : mezzos : micas : mikes : miscues : mises : misgauge : misses : missies : misuse : mixes : mooches : mosaic : mosaics : moses : moseys : mosques : mosses : moussaka : mousses : mucous : mucus : muses : music : muskeg : muskegs : muskies : musquash : musses : muzak
Soundex of myein : 45  : maim : main : maine : mama : mamma : mammy : man : mane : mania : mann : manna : manu : many : mauna : mayan : mayhem : mean : meany : memo : men : menu : miami : mien : mim : mime : mimi : min : mina : mine : mini : minnie : minnow : moan : mom : momma : mommy : money : mono : moon : moony : mown : mum : mummy : myna : mynah
Metaphone of myein : 1  : mayan
Soundex of mzvmtp : 10  : massiveness : megaphone : megaphones : misgiving : misgivings : misshapen : misspend : misspending : misspends : misspent
Soundex of naah : 11  : nay : ne : nee : neo : new : nne : nnw : no : noah : now : nw
Metaphone of naah : 18  : gnaw : gnu : knee : knew : know : nay : ne : nee : neo : new : nne : nnw : no : noah : now : nw : wnw : wynn
Soundex of nacdhwo : 28  : nagged : naked : nasty : naught : naughty : nauseate : necked : necktie : negate : negotii : neighed : nest : newest : newgate : next : nicety : nicked : night : nightie : nighty : noised : noosed : nosed : noshed : nougat : nought : nugget : nuked
Soundex of naf : 25  : naafi : nab : naive : naíf : nap : napa : nape : nappy : navaho : nave : navvy : navy : neap : neb : nephew : nevi : nib : nip : nippy : nob : nouveau : nova : novae : novo : nub
Metaphone of naf : 17  : knave : knife : naafi : naive : naíf : nave : navvy : navy : neagh : neigh : nephew : nevi : nigh : nouveau : nova : novae : novo
Soundex of nafff : 25  : naafi : nab : naive : naíf : nap : napa : nape : nappy : navaho : nave : navvy : navy : neap : neb : nephew : nevi : nib : nip : nippy : nob : nouveau : nova : novae : novo : nub
Metaphone of nafff : 17  : knave : knife : naafi : naive : naíf : nave : navvy : navy : neagh : neigh : nephew : nevi : nigh : nouveau : nova : novae : novo
Soundex of naong : 14  : names : nancy : nannies : newness : nines : ninnies : noms : nonce : nones : nouns : nuance : nunc : nuncio : nuns
Metaphone of naong : 2  : kneeing : nunc
Soundex of napwf : 1  : nabob
Soundex of nbhi : 25  : naafi : nab : naive : naíf : nap : napa : nape : nappy : navaho : nave : navvy : navy : neap : neb : nephew : nevi : nib : nip : nippy : nob : nouveau : nova : novae : novo : nub
Soundex of ncgyeam : 7  : nauseam : niacin : nicene : nissan : nixon : noggin : noisome
Soundex of ndeujv : 2  : noticeable : noticeably
Soundex of ndlhiu : 10  : natal : natalie : nattily : nautili : neatly : needle : nettle : nodal : nodule : noodle
Soundex of ndqd : 9  : nattiest : neatest : neediest : notched : noticed : nudged : nudist : nudists : nuttiest
Soundex of ndzfc : 2  : noticeable : noticeably
Soundex of nfzbfl : 3  : nabokov : navigability : navigable
Soundex of njtldmi : 14  : nakedly : nastily : naughtily : nestle : nestled : nestles : nestling : nightlife : nightly : nightwalker : nightwalkers : nostalgia : nostalgic : nostalgically
Soundex of nkl : 14  : nacelle : nasal : nasally : nicely : nickel : nicole : nigel : niggle : noisily : nosily : noxell : nozzle : nuclei : nuzzle
Metaphone of nkl : 5  : knuckle : nickel : nicole : niggle : nuclei
Soundex of nlubyy : 1  : nullify
Soundex of nlxazl : 2  : neologism : neologisms
Soundex of nmaal : 18  : nail : neil : nell : nellie : newel : newell : newly : nihil : nil : nile : noel : nolle : nolo : nul : null : nulla : nulle : nulli
Metaphone of nmaal : 4  : namely : nimble : nimbly : numbly
Soundex of nmmk : 43  : nacho : nag : nagoya : nags : nash : nashua : nassau : nausea : nays : nazi : nco : neagh : neck : necks : neg : neigh : ness : newquay : news : newsy : nice : niche : nick : nicks : niece : nigh : nikkei : nisei : nisi : nix : noes : noise : noisy : nook : nooks : noose : nose : nosey : nosh : nosy : nous : nowise : nuke
Metaphone of nmmk : 1  : gnomic
Soundex of nmvn : 6  : newhaven : niobium : novena : novum : nubbin : nubian
Soundex of nof : 25  : naafi : nab : naive : naíf : nap : napa : nape : nappy : navaho : nave : navvy : navy : neap : neb : nephew : nevi : nib : nip : nippy : nob : nouveau : nova : novae : novo : nub
Metaphone of nof : 17  : knave : knife : naafi : naive : naíf : nave : navvy : navy : neagh : neigh : nephew : nevi : nigh : nouveau : nova : novae : novo
Soundex of nohzndi : 2  : nascent : nocent
Metaphone of nohzndi : 2  : nascent : nocent
Soundex of noib : 25  : naafi : nab : naive : naíf : nap : napa : nape : nappy : navaho : nave : navvy : navy : neap : neb : nephew : nevi : nib : nip : nippy : nob : nouveau : nova : novae : novo : nub
Metaphone of noib : 7  : knob : knobby : nab : neb : nib : nob : nub
Soundex of nopfjkn : 3  : napkin : napkins : novocain
Soundex of npm : 6  : newhaven : niobium : novena : novum : nubbin : nubian
Soundex of nqc : 43  : nacho : nag : nagoya : nags : nash : nashua : nassau : nausea : nays : nazi : nco : neagh : neck : necks : neg : neigh : ness : newquay : news : newsy : nice : niche : nick : nicks : niece : nigh : nikkei : nisei : nisi : nix : noes : noise : noisy : nook : nooks : noose : nose : nosey : nosh : nosy : nous : nowise : nuke
Soundex of nrvf : 4  : nairobi : nearby : nerve : nervy
Soundex of nseu : 43  : nacho : nag : nagoya : nags : nash : nashua : nassau : nausea : nays : nazi : nco : neagh : neck : necks : neg : neigh : ness : newquay : news : newsy : nice : niche : nick : nicks : niece : nigh : nikkei : nisei : nisi : nix : noes : noise : noisy : nook : nooks : noose : nose : nosey : nosh : nosy : nous : nowise : nuke
Metaphone of nseu : 24  : gnaws : gneiss : gnus : knees : knows : nassau : nausea : nays : nazi : ness : news : newsy : nice : niece : nisei : nisi : noes : noise : noisy : noose : nose : nosey : nosy : nous
Soundex of ntezb : 2  : noticeable : noticeably
Soundex of nuvw : 25  : naafi : nab : naive : naíf : nap : napa : nape : nappy : navaho : nave : navvy : navy : neap : neb : nephew : nevi : nib : nip : nippy : nob : nouveau : nova : novae : novo : nub
Metaphone of nuvw : 17  : knave : knife : naafi : naive : naíf : nave : navvy : navy : neagh : neigh : nephew : nevi : nigh : nouveau : nova : novae : novo
Soundex of nuz : 43  : nacho : nag : nagoya : nags : nash : nashua : nassau : nausea : nays : nazi : nco : neagh : neck : necks : neg : neigh : ness : newquay : news : newsy : nice : niche : nick : nicks : niece : nigh : nikkei : nisei : nisi : nix : noes : noise : noisy : nook : nooks : noose : nose : nosey : nosh : nosy : nous : nowise : nuke
Metaphone of nuz : 24  : gnaws : gneiss : gnus : knees : knows : nassau : nausea : nays : nazi : ness : news : newsy : nice : niece : nisei : nisi : noes : noise : noisy : noose : nose : nosey : nosy : nous
Soundex of nvg : 27  : nabisco : nabs : naffs : naives : naífs : napes : nappies : naps : navahos : navajo : naves : navies : navvies : neaps : nebbish : nephews : nevis : nevus : nibs : nips : nobis : nobs : nouveaux : novas : novice : novus : nubs
Soundex of nwx : 43  : nacho : nag : nagoya : nags : nash : nashua : nassau : nausea : nays : nazi : nco : neagh : neck : necks : neg : neigh : ness : newquay : news : newsy : nice : niche : nick : nicks : niece : nigh : nikkei : nisei : nisi : nix : noes : noise : noisy : nook : nooks : noose : nose : nosey : nosh : nosy : nous : nowise : nuke
Metaphone of nwx : 10  : knacks : knocks : knox : nags : necks : nicks : nikes : nix : nooks : nukes
Soundex of nxo : 43  : nacho : nag : nagoya : nags : nash : nashua : nassau : nausea : nays : nazi : nco : neagh : neck : necks : neg : neigh : ness : newquay : news : newsy : nice : niche : nick : nicks : niece : nigh : nikkei : nisei : nisi : nix : noes : noise : noisy : nook : nooks : noose : nose : nosey : nosh : nosy : nous : nowise : nuke
Metaphone of nxo : 10  : knacks : knocks : knox : nags : necks : nicks : nikes : nix : nooks : nukes
Soundex of nyh : 11  : nay : ne : nee : neo : new : nne : nnw : no : noah : now : nw
Metaphone of nyh : 18  : gnaw : gnu : knee : knew : know : nay : ne : nee : neo : new : nne : nnw : no : noah : now : nw : wnw : wynn
Soundex of nyp : 25  : naafi : nab : naive : naíf : nap : napa : nape : nappy : navaho : nave : navvy : navy : neap : neb : nephew : nevi : nib : nip : nippy : nob : nouveau : nova : novae : novo : nub
Metaphone of nyp : 7  : nap : napa : nape : nappy : neap : nip : nippy
Soundex of nzb : 3  : negev : nescafe : newsboy
Metaphone of nzb : 1  : newsboy
Soundex of nzm : 7  : nauseam : niacin : nicene : nissan : nixon : noggin : noisome
Metaphone of nzm : 2  : nauseam : noisome
Soundex of ocebdh : 8  : occipital : occipitals : occupation : occupational : occupations : occupative : occupied : ossified
Soundex of ocfx : 7  : occupies : oesophageal : oesophagi : oesophagus : okapis : ossification : ossifies
Soundex of ofdxf : 15  : obits : obtuse : obtusely : obtuseness : obviates : opiates : optic : optical : optically : optician : opticians : optics : opts : oviduct : oviducts
Soundex of oflni : 7  : oblong : oblongata : oblongs : offline : opulence : opulent : opulently
Metaphone of oflni : 1  : offline
Soundex of ogb : 3  : occupy : okapi : ossify
Soundex of ohuxj : 19  : oak : oaks : ogee : ok : okay : oks : oohs : ooze : oozy : os : ouch : ouija : ouse : ouzo : owes : ox : oxeye : oyez : oz
Soundex of ohvro : 7  : oeuvre : offer : offeree : opera : ovary : over : overawe
Metaphone of ohvro : 5  : oeuvre : offer : offeree : ovary : over
Soundex of ohzwmfe : 1  : okehampton
Soundex of oigwuaz : 10  : oases : oasis : ocas : ogees : okays : oozes : osaka : osseous : ouches : oxeyes
Soundex of ojzrmy : 5  : ocarina : ocarinas : occurrence : occurrences : occurring
Soundex of okaylk : 12  : occlusion : occlusions : occlusive : oculist : oculists : ogles : oscilloscope : oscilloscopes : ouzels : oxalic : oxalis : oxalises
Soundex of oky : 19  : oak : oaks : ogee : ok : okay : oks : oohs : ooze : oozy : os : ouch : ouija : ouse : ouzo : owes : ox : oxeye : oyez : oz
Metaphone of oky : 3  : oak : ok : okay
Soundex of ommre : 2  : onere : owner
Soundex of omrgtpr : 7  : onerous : onerously : onrush : onrushes : onrushing : owners : ownership
Soundex of omthyi : 3  : omit : onto : owned
Soundex of onveha : 1  : oomph
Soundex of oobbzac : 42  : object : objected : objectification : objectified : objectifies : objectify : objectifying : objecting : objection : objectionable : objectionably : objections : objective : objectively : objectiveness : objectives : objectivity : objectless : objector : objectors : objects : obsequies : obsequious : obsequiously : obsequiousness : obsequy : obsess : obsessed : obsesses : obsessing : obsession : obsessional : obsessions : obsessive : obsessively : obsignatory : offices : officious : officiously : officiousness : opposes : opuses
Metaphone of oobbzac : 1  : obsequy
Soundex of oprvm : 120  : obreption : obreptions : operability : operable : opprobrious : opprobrium : overabundance : overabundant : overbalance : overbalanced : overbalances : overbalancing : overbank : overbear : overbearing : overbearingly : overbears : overbid : overbidding : overbids : overbite : overbites : overblouse : overblown : overboard : overbold : overbook : overbooked : overbooking : overbooks : overbore : overborne : overbought : overbreadth : overbuild : overbuilding : overbuilds : overbuilt : overburden : overburdened : overburdening : overburdens : overbuy : overbuying : overbuys : overfastidious : overfed : overfeed : overfeeding : overfeeds : overfill : overfilled : overfilling : overfills : overflew : overflies : overflow : overflowed : overflowing : overflown : overflows : overfly : overflying : overfond : overfreight : overfund : overfunded : overfunding : overfunds : overoptimistic : overpaid : overpass : overpasses : overpay : overpaying : overpayment : overpayments : overpays : overplay : overplayed : overplaying : overplays : overplus : overpopulate : overpopulated : overpopulates : overpopulating : overpopulation : overpower : overpowered : overpowering : overpoweringly : overpowers : overpraise : overpraised : overpraises : overpraising : overprice : overpriced : overprices : overpricing : overprint : overprinted : overprinting : overprints : overproduce : overproduced : overproduces : overproducing : overproduction : overprotective : overripe : overvaluation : overvaluations : overvalue : overvalued : overvalues : overvaluing : overview : overviews
Soundex of opunrsm : 3  : opener : openers : ovenware
Soundex of orw : 5  : oar : or : ore : our : oyer
Metaphone of orw : 4  : oar : or : ore : our
Soundex of osfxif : 7  : occupies : oesophageal : oesophagi : oesophagus : okapis : ossification : ossifies
Soundex of otrsti : 27  : odorous : odorously : odours : others : otherwise : otters : outdoors : outdoorsy : outrage : outraged : outrageous : outrageously : outrageousness : outrages : outraging : outreach : outreached : outreaches : outreaching : outrigger : outriggers : outright : outwears : outwork : outworked : outworking : outworks
Soundex of otursgo : 27  : odorous : odorously : odours : others : otherwise : otters : outdoors : outdoorsy : outrage : outraged : outrageous : outrageously : outrageousness : outrages : outraging : outreach : outreached : outreaches : outreaching : outrigger : outriggers : outright : outwears : outwork : outworked : outworking : outworks
Soundex of ovec : 15  : oafish : oafs : obese : obeys : obis : oboes : obvious : office : officio : offish : oops : opaque : opec : oppose : opus
Soundex of ovjpvzc : 3  : offspring : opposability : opposable
Soundex of oxqr : 8  : occur : ochre : ogre : okra : oozier : oscar : osier : ossuary
Soundex of oxy : 19  : oak : oaks : ogee : ok : okay : oks : oohs : ooze : oozy : os : ouch : ouija : ouse : ouzo : owes : ox : oxeye : oyez : oz
Metaphone of oxy : 5  : oaks : ocas : okays : oks : ox
Soundex of oycihfp : 3  : occupy : okapi : ossify
Soundex of oyojfrq : 10  : occupier : occupiers : osbert : osborn : osborne : osprey : ospreys : oxbridge : oxford : oxfordshire
Soundex of ozflm : 1  : oxblood
Soundex of paocm : 21  : pagan : pajama : passim : passion : pecan : peckham : pecunia : phosgene : picayune : pigeon : pigmy : pigskin : piscine : poison : poisson : possum : psion : puccini : puisne : pygmy : pyjama
Metaphone of paocm : 2  : pigmy : pygmy
Soundex of pbi : 23  : pa : paw : pay : payee : pe : pea : pee : peewee : pei : pew : pewee : ph : phew : phi : phooey : pi : pie : po : poe : poi : pooh : pow : powwow
Metaphone of pbi : 1  : pub
Soundex of pbruq : 87  : pairs : parage : paraguay : parch : pares : pariahs : paris : parish : park : parka : parks : parkway : parries : parse : payers : pearce : pears : peerage : peeress : peers : perch : percy : perez : perigee : perish : periwig : periwigs : perk : perks : perky : persia : peruse : pharaohs : pharisee : phrase : pierce : piers : piracy : piraeus : pirogue : poorhouse : porch : pores : porgy : pork : porous : porsche : pours : powers : prague : praise : prays : preach : preachy : prece : pres : press : preys : price : pricey : prick : pricks : pries : prig : prigs : pris : prise : prissy : prius : prix : prize : pros : prose : prosy : prowess : prows : proxy : prussia : purees : purge : puris : purrs : purse : pursue : pyres : pyrex : pyrrhic
Soundex of pcc : 102  : pace : pack : packs : page : paige : pais : paix : pas : pasha : paso : pass : passÉ : passkey : passu : pause : paws : pax : payees : pays : paz : pc : peace : peach : peachy : peak : peaks : peaky : peas : pease : peck : pecks : peek : peeks : pees : peewees : peez : peg : peggy : pegs : pekoe : pesky : peso : pews : pewsey : phase : piazza : pica : pick : picks : picky : piece : pies : pig : piggy : pigs : pike : pious : pique : pisa : piss : pius : pixie : pixy : pizza : poach : pock : pocks : poesy : pogo : poise : poke : poky : pooch : pos : pose : posh : posse : posy : pouch : pows : powwows : powys : pox : ppos : pps : ps : psi : puce : puck : pucks : pug : pugh : pugs : puis : puke : pukka : pus : push : pushy : puss : pussy : Époque
Metaphone of pcc : 1  : peacock
Soundex of pci : 102  : pace : pack : packs : page : paige : pais : paix : pas : pasha : paso : pass : passÉ : passkey : passu : pause : paws : pax : payees : pays : paz : pc : peace : peach : peachy : peak : peaks : peaky : peas : pease : peck : pecks : peek : peeks : pees : peewees : peez : peg : peggy : pegs : pekoe : pesky : peso : pews : pewsey : phase : piazza : pica : pick : picks : picky : piece : pies : pig : piggy : pigs : pike : pious : pique : pisa : piss : pius : pixie : pixy : pizza : poach : pock : pocks : poesy : pogo : poise : poke : poky : pooch : pos : pose : posh : posse : posy : pouch : pows : powwows : powys : pox : ppos : pps : ps : psi : puce : puck : pucks : pug : pugh : pugs : puis : puke : pukka : pus : push : pushy : puss : pussy : Époque
Metaphone of pci : 47  : hypes : hypos : pace : pais : pas : paso : pass : passÉ : passu : pause : paws : pays : paz : peace : peas : pease : pees : peez : peso : pews : pewsey : piazza : piece : pies : pious : pisa : piss : pius : pizza : poesy : poise : pos : pose : posse : posy : pows : powwows : powys : ppos : pps : ps : psi : puce : puis : pus : puss : pussy
Soundex of pdb : 1  : potpie
